Procedure_code,Procedure_description
0SWB07Z,"Revision of Autologous Tissue Substitute in Left Hip Joint, Open Approach"
047M0Z1,"Dilation of Right Popliteal Artery using Drug-Coated Balloon, Open Approach"
0LRG0JZ,"Replacement of Left Abdomen Tendon with Synthetic Substitute, Open Approach"
0DFB0ZZ,"Fragmentation in Ileum, Open Approach"
03NS3ZZ,"Release Right Temporal Artery, Percutaneous Approach"
07LK0ZZ,"Occlusion of Thoracic Duct, Open Approach"
06BY0ZX,"Excision of Lower Vein, Open Approach, Diagnostic"
0RRJ0J6,"Replacement of Right Shoulder Joint with Synthetic Substitute, Humeral Surface, Open Approach"
00BL4ZX,"Excision of Abducens Nerve, Percutaneous Endoscopic Approach, Diagnostic"
0QH906Z,"Insertion of Intramedullary Internal Fixation Device into Left Femoral Shaft, Open Approach"
B53MZZZ,Magnetic Resonance Imaging (MRI) of Right Upper Extremity Veins
0T1B3JD,"Bypass Bladder to Cutaneous with Synthetic Substitute, Percutaneous Approach"
00P003Z,null
0SG844Z,"Fusion of Left Sacroiliac Joint with Internal Fixation Device, Percutaneous Endoscopic Approach"
07HL03Z,"Insertion of Infusion Device into Cisterna Chyli, Open Approach"
0DNE4ZZ,"Release Large Intestine, Percutaneous Endoscopic Approach"
03WY4MZ,"Revision of Stimulator Lead in Upper Artery, Percutaneous Endoscopic Approach"
0QH646Z,"Insertion of Intramedullary Internal Fixation Device into Right Upper Femur, Percutaneous Endoscopic Approach"
0D7H8ZZ,"Dilation of Cecum, Via Natural or Artificial Opening Endoscopic"
0QQKXZZ,"Repair Left Fibula, External Approach"
04U60JZ,"Supplement Right Colic Artery with Synthetic Substitute, Open Approach"
0LUH07Z,"Supplement Perineum Tendon with Autologous Tissue Substitute, Open Approach"
2W3HX2Z,Immobilization of Left Thumb using Cast
0YUQ47Z,"Supplement Left 1st Toe with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
2W3UX3Z,Immobilization of Right Toe using Brace
0BFB3ZZ,"Fragmentation in Left Lower Lobe Bronchus, Percutaneous Approach"
0D13079,"Bypass Lower Esophagus to Duodenum with Autologous Tissue Substitute, Open Approach"
0RG84Z0,"Fusion of 8 or more Thoracic Vertebral Joints, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
DMY0KZZ,Laser Interstitial Thermal Therapy of Left Breast
0J9N0ZZ,"Drainage of Right Lower Leg Subcutaneous Tissue and Fascia, Open Approach"
06VG0CZ,"Restriction of Left External Iliac Vein with Extraluminal Device, Open Approach"
0YQR3ZZ,"Repair Right 2nd Toe, Percutaneous Approach"
08R8XKZ,"Replacement of Right Cornea with Nonautologous Tissue Substitute, External Approach"
B51WYZA,"Fluoroscopy of Dialysis Shunt/Fistula using Other Contrast, Guidance"
0DUE77Z,"Supplement Large Intestine with Autologous Tissue Substitute, Via Natural or Artificial Opening"
0RWJ3JZ,"Revision of Synthetic Substitute in Right Shoulder Joint, Percutaneous Approach"
0FPD42Z,"Removal of Monitoring Device from Pancreatic Duct, Percutaneous Endoscopic Approach"
0SU23JZ,"Supplement Lumbar Vertebral Disc with Synthetic Substitute, Percutaneous Approach"
0BCS3ZZ,"Extirpation of Matter from Left Diaphragm, Percutaneous Approach"
0DWU07Z,"Revision of Autologous Tissue Substitute in Omentum, Open Approach"
0WWN03Z,"Revision of Infusion Device in Female Perineum, Open Approach"
0KB,"Muscles, Excision"
0SGN07Z,"Fusion of Left Metatarsal-Phalangeal Joint with Autologous Tissue Substitute, Open Approach"
0TWB7KZ,"Revision of Nonautologous Tissue Substitute in Bladder, Via Natural or Artificial Opening"
0NUH07Z,"Supplement Right Lacrimal Bone with Autologous Tissue Substitute, Open Approach"
0THB83Z,"Insertion of Infusion Device into Bladder, Via Natural or Artificial Opening Endoscopic"
2W53XYZ,Removal of Other Device on Abdominal Wall
0CWY0KZ,"Revision of Nonautologous Tissue Substitute in Mouth and Throat, Open Approach"
BQ40ZZZ,Ultrasonography of Right Hip
0BL93CZ,"Occlusion of Lingula Bronchus with Extraluminal Device, Percutaneous Approach"
0Q9730Z,"Drainage of Left Upper Femur with Drainage Device, Percutaneous Approach"
3E09XGC,"Introduction of Other Therapeutic Substance into Nose, External Approach"
06CM4ZZ,"Extirpation of Matter from Right Femoral Vein, Percutaneous Endoscopic Approach"
021649P,"Bypass Right Atrium to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
01CM4ZZ,"Extirpation of Matter from Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach"
0DP03KZ,"Removal of Nonautologous Tissue Substitute from Upper Intestinal Tract, Percutaneous Approach"
0RGC04Z,"Fusion of Right Temporomandibular Joint with Internal Fixation Device, Open Approach"
0BWT3MZ,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Percutaneous Approach"
0Q9H40Z,"Drainage of Left Tibia with Drainage Device, Percutaneous Endoscopic Approach"
02164KP,"Bypass Right Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
09PJ80Z,"Removal of Drainage Device from Left Ear, Via Natural or Artificial Opening Endoscopic"
02RD4KZ,"Replacement of Papillary Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0M9S3ZZ,"Drainage of Right Foot Bursa and Ligament, Percutaneous Approach"
0D1907L,"Bypass Duodenum to Transverse Colon with Autologous Tissue Substitute, Open Approach"
0KX70Z1,"Transfer Right Upper Arm Muscle with Subcutaneous Tissue, Open Approach"
0RGU3ZZ,"Fusion of Right Metacarpophalangeal Joint, Percutaneous Approach"
06100K6,"Bypass Inferior Vena Cava to Inferior Mesenteric Vein with Nonautologous Tissue Substitute, Open Approach"
09UN07Z,"Supplement Nasopharynx with Autologous Tissue Substitute, Open Approach"
D920JZZ,Stereotactic Gamma Beam Radiosurgery of Ear
04100AJ,null
0T184KD,"Bypass Bilateral Ureters to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0MBQ0ZZ,"Excision of Right Ankle Bursa and Ligament, Open Approach"
00P003Z,"Removal of Infusion Device from Brain, Open Approach"
0DL64ZZ,"Occlusion of Stomach, Percutaneous Endoscopic Approach"
0CN3XZZ,"Release Soft Palate, External Approach"
02LH3CZ,"Occlusion of Pulmonary Valve with Extraluminal Device, Percutaneous Approach"
0CBV4ZZ,"Excision of Left Vocal Cord, Percutaneous Endoscopic Approach"
0LM60ZZ,null
0DRW47Z,"Replacement of Peritoneum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0WHC4YZ,"Insertion of Other Device into Mediastinum, Percutaneous Endoscopic Approach"
002EXYZ,null
4A140R3,"Monitoring of Venous Saturation, Pulmonary, Open Approach"
0NHR44Z,"Insertion of Internal Fixation Device into Right Maxilla, Percutaneous Endoscopic Approach"
3E043WK,"Introduction of Immunostimulator into Central Vein, Percutaneous"
0SGP4JZ,"Fusion of Right Toe Phalangeal Joint with Synthetic Substitute, Percutaneous Endoscopic Approach"
0NPW0KZ,"Removal of Nonautologous Tissue Substitute from Facial Bone, Open Approach"
0SPH30Z,"Removal of Drainage Device from Right Tarsal Joint, Percutaneous Approach"
047P346,"Dilation of Right Anterior Tibial Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach"
0LMK4ZZ,"Reattachment of Left Hip Tendon, Percutaneous Endoscopic Approach"
00C90ZZ,"Extirpation of Matter from Thalamus, Open Approach"
03HB33Z,"Insertion of Infusion Device into Right Radial Artery, Percutaneous Approach"
04LQ4ZZ,"Occlusion of Left Anterior Tibial Artery, Percutaneous Endoscopic Approach"
0C9B0ZX,"Drainage of Right Parotid Duct, Open Approach, Diagnostic"
02HR33Z,"Insertion of Infusion Device into Left Pulmonary Artery, Percutaneous Approach"
0UB64ZZ,"Excision of Left Fallopian Tube, Percutaneous Endoscopic Approach"
0UW83DZ,"Revision of Intraluminal Device in Fallopian Tube, Percutaneous Approach"
037B3DZ,"Dilation of Right Radial Artery with Intraluminal Device, Percutaneous Approach"
037V076,"Dilation of Left Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach"
0CB00ZZ,"Excision of Upper Lip, Open Approach"
03NU0ZZ,"Release Right Thyroid Artery, Open Approach"
0SWL4JZ,"Revision of Synthetic Substitute in Left Metatarsal-Tarsal Joint, Percutaneous Endoscopic Approach"
08W,"Eye, Revision"
027T04Z,"Dilation of Left Pulmonary Vein with Drug-eluting Intraluminal Device, Open Approach"
087X7DZ,"Dilation of Right Lacrimal Duct with Intraluminal Device, Via Natural or Artificial Opening"
04R04KZ,"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
07L94DZ,"Occlusion of Left Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach"
027W3DZ,"Dilation of Thoracic Aorta, Descending with Intraluminal Device, Percutaneous Approach"
0YUC0JZ,"Supplement Right Upper Leg with Synthetic Substitute, Open Approach"
0Y0K0KZ,"Alteration of Right Ankle Region with Nonautologous Tissue Substitute, Open Approach"
05SY0ZZ,"Reposition Upper Vein, Open Approach"
07VF0DZ,"Restriction of Right Lower Extremity Lymphatic with Intraluminal Device, Open Approach"
0DX64Z5,"Transfer Stomach to Esophagus, Percutaneous Endoscopic Approach"
BH32YZZ,Magnetic Resonance Imaging (MRI) of Bilateral Breasts using Other Contrast
0C9NXZX,"Drainage of Uvula, External Approach, Diagnostic"
0JR10KZ,"Replacement of Face Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Open Approach"
061S47Y,"Bypass Left Lesser Saphenous Vein to Lower Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0SSC45Z,"Reposition Right Knee Joint with External Fixation Device, Percutaneous Endoscopic Approach"
0RP6X4Z,"Removal of Internal Fixation Device from Thoracic Vertebral Joint, External Approach"
05963ZZ,"Drainage of Left Subclavian Vein, Percutaneous Approach"
0MQ64ZZ,"Repair Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach"
3E053WL,"Introduction of Immunosuppressive into Peripheral Artery, Percutaneous"
00JE4ZZ,"Inspection of Cranial Nerve, Percutaneous Endoscopic Approach"
0WFG3ZZ,"Fragmentation in Peritoneal Cavity, Percutaneous Approach"
0LUV4KZ,"Supplement Right Foot Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
BN20YZZ,Computerized Tomography (CT Scan) of Skull using Other Contrast
0T130K3,"Bypass Right Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
0DQT0ZZ,"Repair Lesser Omentum, Open Approach"
0SPCX4Z,"Removal of Internal Fixation Device from Right Knee Joint, External Approach"
0VW83KZ,"Revision of Nonautologous Tissue Substitute in Scrotum and Tunica Vaginalis, Percutaneous Approach"
07LH3ZZ,"Occlusion of Right Inguinal Lymphatic, Percutaneous Approach"
05BS3ZZ,"Excision of Left Vertebral Vein, Percutaneous Approach"
0T134JA,"Bypass Right Kidney Pelvis to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach"
021K0Z5,"Bypass Right Ventricle to Coronary Circulation, Open Approach"
0D154KA,"Bypass Esophagus to Jejunum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
047H446,"Dilation of Right External Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
0WJ00ZZ,"Inspection of Head, Open Approach"
0KB44ZZ,"Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach"
HZ3CZZZ,"Individual Counseling for Substance Abuse Treatment, Pre/Post-Test Infectious Disease"
0NH03MZ,"Insertion of Bone Growth Stimulator into Skull, Percutaneous Approach"
0QRC3KZ,"Replacement of Left Lower Femur with Nonautologous Tissue Substitute, Percutaneous Approach"
0UP84DZ,"Removal of Intraluminal Device from Fallopian Tube, Percutaneous Endoscopic Approach"
BH4CZZZ,Ultrasonography of Head and Neck
08P03CZ,"Removal of Extraluminal Device from Right Eye, Percutaneous Approach"
0NUC3JZ,"Supplement Right Sphenoid Bone with Synthetic Substitute, Percutaneous Approach"
03U437Z,"Supplement Left Subclavian Artery with Autologous Tissue Substitute, Percutaneous Approach"
04CP4Z6,"Extirpation of Matter from Right Anterior Tibial Artery, Bifurcation, Percutaneous Endoscopic Approach"
0MSR0ZZ,"Reposition Left Ankle Bursa and Ligament, Open Approach"
DV1099Z,High Dose Rate (HDR) Brachytherapy of Prostate using Iodine 125 (I-125)
0QUF4KZ,"Supplement Left Patella with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
067D4ZZ,"Dilation of Left Common Iliac Vein, Percutaneous Endoscopic Approach"
B314110,"Fluoroscopy of Left Common Carotid Artery using Low Osmolar Contrast, Laser Intraoperative"
0VPS87Z,"Removal of Autologous Tissue Substitute from Penis, Via Natural or Artificial Opening Endoscopic"
08LY7DZ,"Occlusion of Left Lacrimal Duct with Intraluminal Device, Via Natural or Artificial Opening"
0D9G8ZZ,"Drainage of Left Large Intestine, Via Natural or Artificial Opening Endoscopic"
059V30Z,"Drainage of Left Face Vein with Drainage Device, Percutaneous Approach"
0JUK37Z,"Supplement of Left Hand Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Percutaneous Approach"
0QPL35Z,"Removal of External Fixation Device from Right Tarsal, Percutaneous Approach"
04VJ0CZ,"Restriction of Left External Iliac Artery with Extraluminal Device, Open Approach"
0SP940Z,"Removal of Drainage Device from Right Hip Joint, Percutaneous Endoscopic Approach"
099W40Z,"Drainage of Right Sphenoid Sinus with Drainage Device, Percutaneous Endoscopic Approach"
B52S10Z,null
039B3ZX,"Drainage of Right Radial Artery, Percutaneous Approach, Diagnostic"
03VC0DZ,"Restriction of Left Radial Artery with Intraluminal Device, Open Approach"
0SW343Z,"Revision of Infusion Device in Lumbosacral Joint, Percutaneous Endoscopic Approach"
0DWD82Z,"Revision of Monitoring Device in Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
0Y3D4ZZ,"Control Bleeding in Left Upper Leg, Percutaneous Endoscopic Approach"
0UL67ZZ,"Occlusion of Left Fallopian Tube, Via Natural or Artificial Opening"
0D1B4J4,"Bypass Ileum to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
DD031ZZ,Beam Radiation of Jejunum using Photons 1 - 10 MeV
041F09K,"Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach"
0KSH4ZZ,"Reposition Right Thorax Muscle, Percutaneous Endoscopic Approach"
047Q4D6,"Dilation of Left Anterior Tibial Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach"
0NHL34Z,"Insertion of Internal Fixation Device into Left Palatine Bone, Percutaneous Approach"
0RPT08Z,"Removal of Spacer from Left Metacarpocarpal Joint, Open Approach"
CW1NDZZ,Planar Nuclear Medicine Imaging of Whole Body using Indium 111 (In-111)
09PK0KZ,"Removal of Nonautologous Tissue Substitute from Nose, Open Approach"
F07D6GZ,Therapeutic Exercise Treatment of Integumentary System - Head and Neck using Aerobic Endurance and Conditioning Equipment
0CQT0ZZ,"Repair Right Vocal Cord, Open Approach"
02WY42Z,"Revision of Monitoring Device in Great Vessel, Percutaneous Endoscopic Approach"
0QUL07Z,"Supplement Right Tarsal with Autologous Tissue Substitute, Open Approach"
0RWN00Z,"Revision of Drainage Device in Right Wrist Joint, Open Approach"
08R13JZ,"Replacement of Left Eye with Synthetic Substitute, Percutaneous Approach"
0RHU35Z,"Insertion of External Fixation Device into Right Metacarpophalangeal Joint, Percutaneous Approach"
0RGP34Z,"Fusion of Left Wrist Joint with Internal Fixation Device, Percutaneous Approach"
0HPPX7Z,null
0MWY47Z,"Revision of Autologous Tissue Substitute in Lower Bursa and Ligament, Percutaneous Endoscopic Approach"
0RHW44Z,"Insertion of Internal Fixation Device into Right Finger Phalangeal Joint, Percutaneous Endoscopic Approach"
BW19ZZZ,Fluoroscopy of Head and Neck
047W376,"Dilation of Left Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
04H233Z,"Insertion of Infusion Device into Gastric Artery, Percutaneous Approach"
03720EZ,"Dilation of Innominate Artery with Two Intraluminal Devices, Open Approach"
0RUH07Z,"Supplement Left Acromioclavicular Joint with Autologous Tissue Substitute, Open Approach"
B4030ZZ,Plain Radiography of Splenic Arteries using High Osmolar Contrast
3E0K36Z,"Introduction of Nutritional Substance into Genitourinary Tract, Percutaneous Approach"
00F53ZZ,"Fragmentation in Subarachnoid Space, Percutaneous Approach"
0RJ5XZZ,"Inspection of Cervicothoracic Vertebral Disc, External Approach"
00XL4ZM,"Transfer Abducens Nerve to Facial Nerve, Percutaneous Endoscopic Approach"
0X3B4ZZ,"Control Bleeding in Right Elbow Region, Percutaneous Endoscopic Approach"
0JRR3JZ,"Replacement of Left Foot Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach"
0BV10DZ,"Restriction of Trachea with Intraluminal Device, Open Approach"
0CB90ZZ,"Excision of Left Parotid Gland, Open Approach"
0BV53DZ,"Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Approach"
0PN74ZZ,"Release Right Glenoid Cavity, Percutaneous Endoscopic Approach"
0LW,"Tendons, Revision"
0NU837Z,"Supplement Left Occipital Bone with Autologous Tissue Substitute, Percutaneous Approach"
041J4Z9,"Bypass Left External Iliac Artery to Right Internal Iliac Artery, Percutaneous Endoscopic Approach"
0N9L0ZZ,"Drainage of Left Palatine Bone, Open Approach"
0L913ZX,"Drainage of Right Shoulder Tendon, Percutaneous Approach, Diagnostic"
0PS40ZZ,"Reposition Thoracic Vertebra, Open Approach"
09B3XZZ,"Excision of Right External Auditory Canal, External Approach"
F02Z1ZZ,Dressing Assessment
0RSLXZZ,"Reposition Right Elbow Joint, External Approach"
0C91XZZ,"Drainage of Lower Lip, External Approach"
0GBD3ZZ,"Excision of Aortic Body, Percutaneous Approach"
0P5P0ZZ,"Destruction of Right Metacarpal, Open Approach"
0RR00JZ,"Replacement of Occipital-cervical Joint with Synthetic Substitute, Open Approach"
0WPR41Z,"Removal of Radioactive Element from Genitourinary Tract, Percutaneous Endoscopic Approach"
03180J1,"Bypass Left Brachial Artery to Left Upper Arm Artery with Synthetic Substitute, Open Approach"
0QBK3ZX,"Excision of Left Fibula, Percutaneous Approach, Diagnostic"
09JD3ZZ,"Inspection of Right Inner Ear, Percutaneous Approach"
0NC43ZZ,"Extirpation of Matter from Left Parietal Bone, Percutaneous Approach"
0CUN07Z,"Supplement Uvula with Autologous Tissue Substitute, Open Approach"
0HBT0ZX,"Excision of Right Breast, Open Approach, Diagnostic"
0NW030Z,"Revision of Drainage Device in Skull, Percutaneous Approach"
041N0JL,"Bypass Left Popliteal Artery to Popliteal Artery with Synthetic Substitute, Open Approach"
037C0EZ,"Dilation of Left Radial Artery with Two Intraluminal Devices, Open Approach"
06HG0DZ,"Insertion of Intraluminal Device into Left External Iliac Vein, Open Approach"
0VQF3ZZ,"Repair Right Spermatic Cord, Percutaneous Approach"
0QS53ZZ,"Reposition Left Acetabulum, Percutaneous Approach"
0SU93JZ,"Supplement Right Hip Joint with Synthetic Substitute, Percutaneous Approach"
047P346,null
3E063RZ,"Introduction of Antiarrhythmic into Central Artery, Percutaneous Approach"
0LQ23ZZ,"Repair Left Shoulder Tendon, Percutaneous Approach"
05H003Z,"Insertion of Infusion Device into Azygos Vein, Open Approach"
037V466,"Dilation of Left Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
037K4ZZ,"Dilation of Right Internal Carotid Artery, Percutaneous Endoscopic Approach"
047M0G6,"Dilation of Right Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach"
0WH601Z,"Insertion of Radioactive Element into Neck, Open Approach"
0WB80ZX,"Excision of Chest Wall, Open Approach, Diagnostic"
0TT,"Urinary System, Resection"
0FPB07Z,"Removal of Autologous Tissue Substitute from Hepatobiliary Duct, Open Approach"
0PST0ZZ,"Reposition Right Finger Phalanx, Open Approach"
3E0G7KZ,"Introduction of Other Diagnostic Substance into Upper GI, Via Natural or Artificial Opening"
0PS6XZZ,"Reposition Left Scapula, External Approach"
0JX93ZB,"Transfer Buttock Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0BWL30Z,"Revision of Drainage Device in Left Lung, Percutaneous Approach"
051N0JY,"Bypass Left Internal Jugular Vein to Upper Vein with Synthetic Substitute, Open Approach"
B421ZZZ,Computerized Tomography (CT Scan) of Celiac Artery
037A45Z,"Dilation of Left Ulnar Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
02NX3ZZ,"Release Thoracic Aorta, Ascending/Arch, Percutaneous Approach"
F07K3FZ,"Motor Function Treatment of Musculoskeletal System - Upper Back / Upper Extremity using Assistive, Adaptive, Supportive or Protective Equipment"
09UN0JZ,"Supplement Nasopharynx with Synthetic Substitute, Open Approach"
B30N0ZZ,Plain Radiography of Other Upper Arteries using High Osmolar Contrast
0HTWXZZ,"Resection of Right Nipple, External Approach"
03L23ZZ,"Occlusion of Innominate Artery, Percutaneous Approach"
04U037Z,"Supplement Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Approach"
30260V0,"Transfusion of Autologous Antihemophilic Factors into Central Artery, Open Approach"
05CM0ZZ,"Extirpation of Matter from Right Internal Jugular Vein, Open Approach"
0U9G0ZX,"Drainage of Vagina, Open Approach, Diagnostic"
0KUR0KZ,"Supplement Left Upper Leg Muscle with Nonautologous Tissue Substitute, Open Approach"
0BH40GZ,"Insertion of Endobronchial Valve into Right Upper Lobe Bronchus, Open Approach"
F02ZFYZ,Pain Assessment using Other Equipment
0WPRX3Z,"Removal of Infusion Device from Genitourinary Tract, External Approach"
05LV0CZ,"Occlusion of Left Face Vein with Extraluminal Device, Open Approach"
0RPH4KZ,"Removal of Nonautologous Tissue Substitute from Left Acromioclavicular Joint, Percutaneous Endoscopic Approach"
0D150Z4,"Bypass Esophagus to Cutaneous, Open Approach"
0BFBXZZ,"Fragmentation in Left Lower Lobe Bronchus, External Approach"
3E0H83Z,"Introduction of Anti-inflammatory into Lower GI, Via Natural or Artificial Opening Endoscopic"
F08K5UZ,Wound Management Treatment of Musculoskeletal System - Upper Back / Upper Extremity using Prosthesis
04L93CZ,"Occlusion of Right Renal Artery with Extraluminal Device, Percutaneous Approach"
09WJ7DZ,"Revision of Intraluminal Device in Left Ear, Via Natural or Artificial Opening"
06LT0CZ,"Occlusion of Right Foot Vein with Extraluminal Device, Open Approach"
0D9Q7ZZ,"Drainage of Anus, Via Natural or Artificial Opening"
0KX70Z2,"Transfer Right Upper Arm Muscle with Skin and Subcutaneous Tissue, Open Approach"
0GQ74ZZ,"Repair Right Carotid Body, Percutaneous Endoscopic Approach"
0X983ZZ,"Drainage of Right Upper Arm, Percutaneous Approach"
0GMN0ZZ,"Reattachment of Right Inferior Parathyroid Gland, Open Approach"
0RUR3KZ,"Supplement Left Carpal Joint with Nonautologous Tissue Substitute, Percutaneous Approach"
099P0ZZ,"Drainage of Accessory Sinus, Open Approach"
0S9C0ZZ,"Drainage of Right Knee Joint, Open Approach"
09R907Z,"Replacement of Right Auditory Ossicle with Autologous Tissue Substitute, Open Approach"
05RN47Z,"Replacement of Left Internal Jugular Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
3E0K729,"Introduction of Other Anti-infective into Genitourinary Tract, Via Natural or Artificial Opening"
0RG63Z0,"Fusion of Thoracic Vertebral Joint, Anterior Approach, Anterior Column, Percutaneous Approach"
0X3G4ZZ,"Control Bleeding in Right Wrist Region, Percutaneous Endoscopic Approach"
0SU20KZ,"Supplement Lumbar Vertebral Disc with Nonautologous Tissue Substitute, Open Approach"
0Y6X0Z0,"Detachment at Right 5th Toe, Complete, Open Approach"
0UQ13ZZ,"Repair Left Ovary, Percutaneous Approach"
05QV4ZZ,"Repair Left Face Vein, Percutaneous Endoscopic Approach"
09R1X7Z,"Replacement of Left External Ear with Autologous Tissue Substitute, External Approach"
04VB3CZ,"Restriction of Inferior Mesenteric Artery with Extraluminal Device, Percutaneous Approach"
0HHW8NZ,"Insertion of Tissue Expander into Right Nipple, Via Natural or Artificial Opening Endoscopic"
BR15ZZZ,Fluoroscopy of Thoracic Facet Joint(s)
0PUR07Z,"Supplement Right Thumb Phalanx with Autologous Tissue Substitute, Open Approach"
0Y9C0ZX,"Drainage of Right Upper Leg, Open Approach, Diagnostic"
B52SY0Z,"Computerized Tomography (CT Scan) of Bilateral Pulmonary Veins using Other Contrast, Unenhanced and Enhanced"
BQ2RYZZ,Computerized Tomography (CT Scan) of Right Lower Extremity using Other Contrast
0F993ZZ,"Drainage of Common Bile Duct, Percutaneous Approach"
0RJU3ZZ,"Inspection of Right Metacarpophalangeal Joint, Percutaneous Approach"
0WHG43Z,"Insertion of Infusion Device into Peritoneal Cavity, Percutaneous Endoscopic Approach"
0RGS3JZ,"Fusion of Right Metacarpocarpal Joint with Synthetic Substitute, Percutaneous Approach"
021749T,"Bypass Left Atrium to Left Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
02N83ZZ,"Release Conduction Mechanism, Percutaneous Approach"
09PJ4JZ,"Removal of Synthetic Substitute from Left Ear, Percutaneous Endoscopic Approach"
041F4ZP,"Bypass Left Internal Iliac Artery to Foot Artery, Percutaneous Endoscopic Approach"
89,"Eye, Drainage"
0US74ZZ,"Reposition Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach"
0RUB4JZ,"Supplement Thoracolumbar Vertebral Disc with Synthetic Substitute, Percutaneous Endoscopic Approach"
3E0Q3GC,"Introduction of Other Therapeutic Substance into Cranial Cavity and Brain, Percutaneous Approach"
2W13X7Z,Compression of Abdominal Wall using Intermittent Pressure Device
0PSH35Z,"Reposition Right Radius with External Fixation Device, Percutaneous Approach"
0RWGXJZ,"Revision of Synthetic Substitute in Right Acromioclavicular Joint, External Approach"
0S9Q00Z,"Drainage of Left Toe Phalangeal Joint with Drainage Device, Open Approach"
4A00X4Z,"Measurement of Central Nervous Electrical Activity, External Approach"
3E0Q0E1,"Introduction of Nonautologous Somatic Stem Cells into Cranial Cavity and Brain, Open Approach"
0D19879,"Bypass Duodenum to Duodenum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
0F150Z9,"Bypass Right Hepatic Duct to Common Bile Duct, Open Approach"
041D0K8,"Bypass Left Common Iliac Artery to Bilateral Common Iliac Arteries with Nonautologous Tissue Substitute, Open Approach"
04BU4ZZ,"Excision of Left Peroneal Artery, Percutaneous Endoscopic Approach"
9WB1XDZ,"Chiropractic Manipulation of Cervical Region, Extra-Articular"
D723DZZ,Stereotactic Other Photon Radiosurgery of Neck Lymphatics
07LJ4ZZ,"Occlusion of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach"
06R947Z,"Replacement of Right Renal Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0X0F3JZ,"Alteration of Left Lower Arm with Synthetic Substitute, Percutaneous Approach"
0MX44ZZ,"Transfer Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach"
09Q44ZZ,"Repair Left External Auditory Canal, Percutaneous Endoscopic Approach"
0DP67CZ,"Removal of Extraluminal Device from Stomach, Via Natural or Artificial Opening"
041D0JG,"Bypass Left Common Iliac Artery to Bilateral External Iliac Arteries with Synthetic Substitute, Open Approach"
0QSH35Z,"Reposition Left Tibia with External Fixation Device, Percutaneous Approach"
0PWF0KZ,"Revision of Nonautologous Tissue Substitute in Right Humeral Shaft, Open Approach"
0SGD4KZ,"Fusion of Left Knee Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0P9N0ZX,"Drainage of Left Carpal, Open Approach, Diagnostic"
0JH80EZ,null
