Diagnosis_code,Diagnosis_description
S12350K,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S2241XB,"Multiple fractures of ribs, right side, initial encounter for open fracture"
V665XXS,"Driver of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident, sequela"
M84611S,"Pathological fracture in other disease, right shoulder, sequela"
S45809A,"Unspecified injury of other specified blood vessels at shoulder and upper arm level, unspecified arm, initial encounter"
T50A14S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, sequela"
S5701XS,"Crushing injury of right elbow, sequela"
S92062P,"Displaced intraarticular fracture of left calcaneus, subsequent encounter for fracture with malunion"
S52366E,"Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing"
S66511,"Strain of intrinsic muscle, fascia and tendon of left index finger at wrist and hand level"
S92345G,"Nondisplaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with delayed healing"
M86031,"Acute hematogenous osteomyelitis, right radius and ulna"
T814XXA,"Infection following a procedure, initial encounter"
M8739,"Other secondary osteonecrosis, multiple sites"
S52326E,"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
S92045K,"Nondisplaced other fracture of tuberosity of left calcaneus, subsequent encounter for fracture with nonunion"
T464X1D,"Poisoning by angiotensin-converting-enzyme inhibitors, accidental (unintentional), subsequent encounter"
S83422D,"Sprain of lateral collateral ligament of left knee, subsequent encounter"
Q7240,Longitudinal reduction defect of unspecified femur
S86029D,"Laceration of unspecified Achilles tendon, subsequent encounter"
M61159,"Myositis ossificans progressiva, unspecified thigh"
K5731,Diverticulosis of large intestine without perforation or abscess with bleeding
T2365,Corrosion of second degree of palm
Z1283,Encounter for screening for malignant neoplasm of skin
O292,null
N8183,Incompetence or weakening of rectovaginal tissue
M1487,"Arthropathies in other specified diseases classified elsewhere, ankle and foot"
C8284,"Other types of follicular lymphoma, lymph nodes of axilla and upper limb"
S20379A,"Other superficial bite of unspecified front wall of thorax, initial encounter"
S92525P,"Nondisplaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with malunion"
M4142,"Neuromuscular scoliosis, cervical region"
N056,Unspecified nephritic syndrome with dense deposit disease
T23771,Corrosion of third degree of right wrist
S7510,Unspecified injury of femoral vein at hip and thigh level
M62121,"Other rupture of muscle (nontraumatic), right upper arm"
T84059S,"Periprosthetic osteolysis of unspecified internal prosthetic joint, sequela"
S92123D,"Displaced fracture of body of unspecified talus, subsequent encounter for fracture with routine healing"
V559XXA,"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
S51859D,"Open bite of unspecified forearm, subsequent encounter"
S86802D,"Unspecified injury of other muscle(s) and tendon(s) at lower leg level, left leg, subsequent encounter"
H838X3,"Other specified diseases of inner ear, bilateral"
T333XXA,"Superficial frostbite of abdominal wall, lower back and pelvis, initial encounter"
R10813,Right lower quadrant abdominal tenderness
S65392,Other specified injury of deep palmar arch of left hand
O9953,Diseases of the respiratory system complicating the puerperium
S92055A,"Nondisplaced other extraarticular fracture of left calcaneus, initial encounter for closed fracture"
S66112D,"Strain of flexor muscle, fascia and tendon of right middle finger at wrist and hand level, subsequent encounter"
S68121S,"Partial traumatic metacarpophalangeal amputation of left index finger, sequela"
S75202S,"Unspecified injury of greater saphenous vein at hip and thigh level, left leg, sequela"
M1A221,"Drug-induced chronic gout, right elbow"
M93272,"Osteochondritis dissecans, left ankle and joints of left foot"
Z437,Encounter for attention to artificial vagina
S90931A,"Unspecified superficial injury of right great toe, initial encounter"
K8081,Other cholelithiasis with obstruction
T43601,"Poisoning by unspecified psychostimulants, accidental (unintentional)"
P960,Congenital renal failure
Y93A,Activities involving other cardiorespiratory exercise
H2605,Posterior subcapsular polar infantile and juvenile cataract
S31839A,"Unspecified open wound of anus, initial encounter"
Z87720,Personal history of (corrected) congenital malformations of eye
D25,Leiomyoma of uterus
S92025,Nondisplaced fracture of anterior process of left calcaneus
Y37251D,"Military operations involving fragments from munitions, civilian, subsequent encounter"
S32599B,"Other specified fracture of unspecified pubis, initial encounter for open fracture"
S2591XD,"Laceration of unspecified blood vessel of thorax, subsequent encounter"
M2141,"Flat foot [pes planus] (acquired), right foot"
S13150,null
D3192,Benign neoplasm of unspecified part of left eye
S61313,Laceration without foreign body of left middle finger with damage to nail
L559,"Sunburn, unspecified"
T48903S,"Poisoning by unspecified agents primarily acting on the respiratory system, assault, sequela"
E13339,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
E09331,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
S68119D,"Complete traumatic metacarpophalangeal amputation of unspecified finger, subsequent encounter"
O9A519,"Psychological abuse complicating pregnancy, unspecified trimester"
S66505,"Unspecified injury of intrinsic muscle, fascia and tendon of left ring finger at wrist and hand level"
S53033D,"Nursemaid's elbow, unspecified elbow, subsequent encounter"
S2329XD,"Dislocation of other parts of thorax, subsequent encounter"
T22361S,"Burn of third degree of right scapular region, sequela"
S069X0D,"Unspecified intracranial injury without loss of consciousness, subsequent encounter"
M8737,"Other secondary osteonecrosis, ankle and foot"
S63691S,"Other sprain of left index finger, sequela"
S63691S,null
S40261A,"Insect bite (nonvenomous) of right shoulder, initial encounter"
S025XXA,"Fracture of tooth (traumatic), initial encounter for closed fracture"
T4142,"Poisoning by unspecified anesthetic, intentional self-harm"
S34113D,"Complete lesion of L3 level of lumbar spinal cord, subsequent encounter"
S72401P,"Unspecified fracture of lower end of right femur, subsequent encounter for closed fracture with malunion"
S59242P,"Salter-Harris Type IV physeal fracture of lower end of radius, left arm, subsequent encounter for fracture with malunion"
S72123S,"Displaced fracture of lesser trochanter of unspecified femur, sequela"
S68120,Partial traumatic metacarpophalangeal amputation of right index finger
J84115,Respiratory bronchiolitis interstitial lung disease
H65199,"Other acute nonsuppurative otitis media, unspecified ear"
Z2912,Encounter for prophylactic antivenin
S63279S,"Dislocation of unspecified interphalangeal joint of unspecified finger, sequela"
V601XXS,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
S82451B,"Displaced comminuted fracture of shaft of right fibula, initial encounter for open fracture type I or II"
V9349XA,"Struck by falling object on unspecified watercraft, initial encounter"
Y37470,"Military operations involving unintentional restriction of air and airway, military personnel"
V0100XD,"Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
L97514,Non-pressure chronic ulcer of other part of right foot with necrosis of bone
T43623S,"Poisoning by amphetamines, assault, sequela"
S0502,"Injury of conjunctiva and corneal abrasion without foreign body, left eye"
S61310A,"Laceration without foreign body of right index finger with damage to nail, initial encounter"
T23769A,"Corrosion of third degree back of unspecified hand, initial encounter"
F172,Nicotine dependence
S01551D,"Open bite of lip, subsequent encounter"
V5960XA,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
M61459,"Other calcification of muscle, unspecified thigh"
M01X31,Direct infection of right wrist in infectious and parasitic diseases classified elsewhere
T39315,Adverse effect of propionic acid derivatives
P941,Congenital hypertonia
S82402G,"Unspecified fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
M080,Unspecified juvenile rheumatoid arthritis
R439,Unspecified disturbances of smell and taste
T483X3A,"Poisoning by antitussives, assault, initial encounter"
O3671X0,"Maternal care for viable fetus in abdominal pregnancy, first trimester, not applicable or unspecified"
Z021,Encounter for pre-employment examination
R2242,"Localized swelling, mass and lump, left lower limb"
S249XXS,"Injury of unspecified nerve of thorax, sequela"
S82856J,"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S63642A,"Sprain of metacarpophalangeal joint of left thumb, initial encounter"
S22012B,"Unstable burst fracture of first thoracic vertebra, initial encounter for open fracture"
I69112,Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
S99009B,"Unspecified physeal fracture of unspecified calcaneus, initial encounter for open fracture"
H21553,"Recession of chamber angle, bilateral"
V2910XA,"Motorcycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
T2671,Corrosion with resulting rupture and destruction of right eyeball
T533X1S,"Toxic effect of tetrachloroethylene, accidental (unintentional), sequela"
S56999D,"Other injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
F3161,"Bipolar disorder, current episode mixed, mild"
S659,Injury of unspecified blood vessel at wrist and hand level
S42232A,"3-part fracture of surgical neck of left humerus, initial encounter for closed fracture"
G468,Other vascular syndromes of brain in cerebrovascular diseases
B0059,Other herpesviral disease of eye
S272,Traumatic hemopneumothorax
S82253R,"Displaced comminuted fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
I69228,Other speech and language deficits following other nontraumatic intracranial hemorrhage
V403XXD,"Unspecified car occupant injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
H10813,"Pingueculitis, bilateral"
T2274,Corrosion of third degree of axilla
T71222,"Asphyxiation due to being trapped in a car trunk, intentional self-harm"
O411490,"Placentitis, unspecified trimester, not applicable or unspecified"
S59099P,"Other physeal fracture of lower end of ulna, unspecified arm, subsequent encounter for fracture with malunion"
S75109A,"Unspecified injury of femoral vein at hip and thigh level, unspecified leg, initial encounter"
T500X3D,"Poisoning by mineralocorticoids and their antagonists, assault, subsequent encounter"
S948X2S,"Injury of other nerves at ankle and foot level, left leg, sequela"
S38211,Complete traumatic amputation of female external genital organs
R300,Dysuria
S76891A,"Other injury of other specified muscles, fascia and tendons at thigh level, right thigh, initial encounter"
S93132D,"Subluxation of interphalangeal joint of left great toe, subsequent encounter"
S99249B,"Salter-Harris Type IV physeal fracture of phalanx of unspecified toe, initial encounter for open fracture"
I25769,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris
H3516,"Retinopathy of prematurity, stage 5"
Z903,Acquired absence of stomach [part of]
W1642XD,"Fall into unspecified water causing other injury, subsequent encounter"
R871,Abnormal level of hormones in specimens from female genital organs
D1802,Hemangioma of intracranial structures
S52125G,"Nondisplaced fracture of head of left radius, subsequent encounter for closed fracture with delayed healing"
V9039,Drowning and submersion due to falling or jumping from crushed unspecified watercraft
Z96622,Presence of left artificial elbow joint
V1900XD,"Pedal cycle driver injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
S91115,Laceration without foreign body of left lesser toe(s) without damage to nail
S72301R,"Unspecified fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
G375,Concentric sclerosis [Balo] of central nervous system
T465X2,"Poisoning by other antihypertensive drugs, intentional self-harm"
S72131B,"Displaced apophyseal fracture of right femur, initial encounter for open fracture type I or II"
S23163D,"Dislocation of T11/T12 thoracic vertebra, subsequent encounter"
S8290XJ,"Unspecified fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S52201J,"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
M23331,"Other meniscus derangements, other medial meniscus, right knee"
S42435K,"Nondisplaced fracture (avulsion) of lateral epicondyle of left humerus, subsequent encounter for fracture with nonunion"
T413X6S,"Underdosing of local anesthetics, sequela"
S37531D,"Laceration of fallopian tube, unilateral, subsequent encounter"
S82265H,"Nondisplaced segmental fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
S0082XA,"Blister (nonthermal) of other part of head, initial encounter"
S89109A,"Unspecified physeal fracture of lower end of unspecified tibia, initial encounter for closed fracture"
S61239S,null
Y92039,Unspecified place in apartment as the place of occurrence of the external cause
S52009P,"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with malunion"
Y37250D,"Military operations involving fragments from munitions, military personnel, subsequent encounter"
T3462XS,"Frostbite with tissue necrosis of left hip and thigh, sequela"
I70503,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs"
S92312K,"Displaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with nonunion"
S76229,"Laceration of adductor muscle, fascia and tendon of unspecified thigh"
S52354,"Nondisplaced comminuted fracture of shaft of radius, right arm"
O368931,"Maternal care for other specified fetal problems, third trimester, fetus 1"
R402232,"Coma scale, best verbal response, inappropriate words, at arrival to emergency department"
S66595S,"Other injury of intrinsic muscle, fascia and tendon of left ring finger at wrist and hand level, sequela"
O9A413,"Sexual abuse complicating pregnancy, third trimester"
S12331B,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture"
W200XXS,"Struck by falling object in cave-in, sequela"
S72479P,"Torus fracture of lower end of unspecified femur, subsequent encounter for fracture with malunion"
S13150,Subluxation of C4/C5 cervical vertebrae
S82221A,"Displaced transverse fracture of shaft of right tibia, initial encounter for closed fracture"
V672XXA,"Person on outside of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
M80059P,"Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with malunion"
M14621,"Charcot's joint, right elbow"
S52501G,"Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with delayed healing"
Y37250D,null
S63291D,"Dislocation of distal interphalangeal joint of left index finger, subsequent encounter"
S92322K,"Displaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with nonunion"
C84A0,"Cutaneous T-cell lymphoma, unspecified, unspecified site"
Y37411S,"Military operations involving rubber bullets, civilian, sequela"
S36503A,"Unspecified injury of sigmoid colon, initial encounter"
S92499D,"Other fracture of unspecified great toe, subsequent encounter for fracture with routine healing"
S79119,Salter-Harris Type I physeal fracture of lower end of unspecified femur
S34113,Complete lesion of L3 level of lumbar spinal cord
S35513,Injury of unspecified iliac artery
S61320A,"Laceration with foreign body of right index finger with damage to nail, initial encounter"
S63617S,"Unspecified sprain of left little finger, sequela"
V123XXA,"Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle, initial encounter"
M26623,Arthralgia of bilateral temporomandibular joint
H0441,Chronic dacryocystitis
S5320XS,"Traumatic rupture of unspecified radial collateral ligament, sequela"
M90651,"Osteitis deformans in neoplastic diseases, right thigh"
T378X6A,"Underdosing of other specified systemic anti-infectives and antiparasitics, initial encounter"
T272XXD,"Burn of other parts of respiratory tract, subsequent encounter"
S8362XD,"Sprain of the superior tibiofibular joint and ligament, left knee, subsequent encounter"
C84A5,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
Q446,Cystic disease of liver
Y36221A,"War operations involving explosion of guided missile, civilian, initial encounter"
S31531,"Puncture wound without foreign body of unspecified external genital organs, male"
M25042,"Hemarthrosis, left hand"
S36530A,"Laceration of ascending [right] colon, initial encounter"
S95202D,"Unspecified injury of dorsal vein of left foot, subsequent encounter"
S09301D,"Unspecified injury of right middle and inner ear, subsequent encounter"
L02434,Carbuncle of left upper limb
S82024R,"Nondisplaced longitudinal fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
M080,null
H44519,"Absolute glaucoma, unspecified eye"
S92502P,"Displaced unspecified fracture of left lesser toe(s), subsequent encounter for fracture with malunion"
S56509A,"Unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
C8239,"Follicular lymphoma grade IIIa, extranodal and solid organ sites"
S63412,Traumatic rupture of collateral ligament of right middle finger at metacarpophalangeal and interphalangeal joint
B3784,Candidal otitis externa
S92536P,"Nondisplaced fracture of distal phalanx of unspecified lesser toe(s), subsequent encounter for fracture with malunion"
S31630A,"Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter"
S7290XA,"Unspecified fracture of unspecified femur, initial encounter for closed fracture"
S7290XD,"Unspecified fracture of unspecified femur, subsequent encounter for closed fracture with routine healing"
S00221A,"Blister (nonthermal) of right eyelid and periocular area, initial encounter"
S61241A,"Puncture wound with foreign body of left index finger without damage to nail, initial encounter"
S99029,Salter-Harris Type II physeal fracture of unspecified calcaneus
M67221,"Synovial hypertrophy, not elsewhere classified, right upper arm"
S298XXA,"Other specified injuries of thorax, initial encounter"
S2046,Insect bite (nonvenomous) of back wall of thorax
S90911D,"Unspecified superficial injury of right ankle, subsequent encounter"
S63034D,"Dislocation of midcarpal joint of right wrist, subsequent encounter"
H01122,Discoid lupus erythematosus of right lower eyelid
S82024K,"Nondisplaced longitudinal fracture of right patella, subsequent encounter for closed fracture with nonunion"
S82873J,"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
H4004,Steroid responder
S52044B,null
Y35013D,"Legal intervention involving injury by machine gun, suspect injured, subsequent encounter"
S92353K,"Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion"
F308,Other manic episodes
M13112,"Monoarthritis, not elsewhere classified, left shoulder"
T17898A,"Other foreign object in other parts of respiratory tract causing other injury, initial encounter"
S59099S,"Other physeal fracture of lower end of ulna, unspecified arm, sequela"
M66145,"Rupture of synovium, left finger(s)"
S62317D,"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with routine healing"
T2039XS,"Burn of third degree of multiple sites of head, face, and neck, sequela"
Y3549,Legal intervention involving other sharp objects
S02113,Unspecified occipital condyle fracture
T2107XA,"Burn of unspecified degree of female genital region, initial encounter"
S4390,Sprain of unspecified parts of unspecified shoulder girdle
S710,Open wound of hip
S82263B,"Displaced segmental fracture of shaft of unspecified tibia, initial encounter for open fracture type I or II"
T4690,"Poisoning by, adverse effect of and underdosing of unspecified agents primarily affecting the cardiovascular system"
S82302K,"Unspecified fracture of lower end of left tibia, subsequent encounter for closed fracture with nonunion"
V7959,Passenger on bus injured in collision with other motor vehicles in traffic accident
M84639A,"Pathological fracture in other disease, unspecified ulna and radius, initial encounter for fracture"
R8762,Abnormal cytological findings in specimens from vagina
Y635,Inappropriate temperature in local application and packing
S43203D,"Unspecified subluxation of unspecified sternoclavicular joint, subsequent encounter"
S23163D,null
O3101X2,"Papyraceous fetus, first trimester, fetus 2"
Y92812,Truck as the place of occurrence of the external cause
T22632,Corrosion of second degree of left upper arm
T46994A,"Poisoning by other agents primarily affecting the cardiovascular system, undetermined, initial encounter"
M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist"
S82142R,"Displaced bicondylar fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
O084,Renal failure following ectopic and molar pregnancy
S92499D,null
S21451S,"Open bite of right back wall of thorax with penetration into thoracic cavity, sequela"
T476X6D,"Underdosing of antidiarrheal drugs, subsequent encounter"
Z77028,Contact with and (suspected) exposure to other hazardous aromatic compounds
M1043,"Other secondary gout, wrist"
V626XXA,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
S45109S,"Unspecified injury of brachial artery, unspecified side, sequela"
S61239S,"Puncture wound without foreign body of unspecified finger without damage to nail, sequela"
S66219A,"Strain of extensor muscle, fascia and tendon of unspecified thumb at wrist and hand level, initial encounter"
V472,Person on outside of car injured in collision with fixed or stationary object in nontraffic accident
S12631,Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra
S30877A,"Other superficial bite of anus, initial encounter"
H4043,"Glaucoma secondary to eye inflammation, bilateral"
S43151S,"Posterior dislocation of right acromioclavicular joint, sequela"
S48029A,"Partial traumatic amputation at unspecified shoulder joint, initial encounter"
Z89519,Acquired absence of unspecified leg below knee
Z1630,Resistance to unspecified antimicrobial drugs
V669XXD,"Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
S52123G,"Displaced fracture of head of unspecified radius, subsequent encounter for closed fracture with delayed healing"
A5602,Chlamydial vulvovaginitis
O10911,"Unspecified pre-existing hypertension complicating pregnancy, first trimester"
S22052S,"Unstable burst fracture of T5-T6 vertebra, sequela"
M9721XD,"Periprosthetic fracture around internal prosthetic right ankle joint, subsequent encounter"
T63031D,"Toxic effect of taipan venom, accidental (unintentional), subsequent encounter"
M08969,"Juvenile arthritis, unspecified, unspecified knee"
S21149D,"Puncture wound with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, subsequent encounter"
S98222,Partial traumatic amputation of two or more left lesser toes
S37022D,"Major contusion of left kidney, subsequent encounter"
S63043,Subluxation of carpometacarpal joint of unspecified thumb
S21252,Open bite of left back wall of thorax without penetration into thoracic cavity
S6620,"Unspecified injury of extensor muscle, fascia and tendon of thumb at wrist and hand level"
S2034,External constriction of front wall of thorax
T385X3D,"Poisoning by other estrogens and progestogens, assault, subsequent encounter"
S52391H,"Other fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing"
S72063R,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
V3949XD,"Driver of three-wheeled motor vehicle injured in collision with other motor vehicles in traffic accident, subsequent encounter"
H44652,"Retained (old) magnetic foreign body in vitreous body, left eye"
S61330A,"Puncture wound without foreign body of right index finger with damage to nail, initial encounter"
S62235D,"Other nondisplaced fracture of base of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing"
G43D,Abdominal migraine
H21561,"Pupillary abnormality, right eye"
H0270,Unspecified degenerative disorders of eyelid and periocular area
W6169,Other contact with duck
E09329,Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
X3908XA,"Exposure to other natural radiation, initial encounter"
S93409,Sprain of unspecified ligament of unspecified ankle
S5182,Laceration with foreign body of forearm
S97119A,"Crushing injury of unspecified great toe, initial encounter"
S49122,"Salter-Harris Type II physeal fracture of lower end of humerus, left arm"
S14108,Unspecified injury at C8 level of cervical spinal cord
V00211S,"Fall from ice-skates, sequela"
V9000XA,"Drowning and submersion due to merchant ship overturning, initial encounter"
T563X3A,"Toxic effect of cadmium and its compounds, assault, initial encounter"
T510X,null
S92254S,"Nondisplaced fracture of navicular [scaphoid] of right foot, sequela"
S56423D,"Laceration of extensor muscle, fascia and tendon of right middle finger at forearm level, subsequent encounter"
S3097,"Unspecified superficial injury of unspecified external genital organs, female"
S5292,Unspecified fracture of left forearm
M02821,"Other reactive arthropathies, right elbow"
H60519,"Acute actinic otitis externa, unspecified ear"
S20429A,"Blister (nonthermal) of unspecified back wall of thorax, initial encounter"
S34139D,"Unspecified injury to sacral spinal cord, subsequent encounter"
V280XXA,"Motorcycle driver injured in noncollision transport accident in nontraffic accident, initial encounter"
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease
T22261A,"Burn of second degree of right scapular region, initial encounter"
C459,"Mesothelioma, unspecified"
S72416B,"Nondisplaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for open fracture type I or II"
V610XXD,"Driver of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
S06358A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter"
S0910XA,"Unspecified injury of muscle and tendon of head, initial encounter"
S22010D,"Wedge compression fracture of first thoracic vertebra, subsequent encounter for fracture with routine healing"
S62395D,"Other fracture of fourth metacarpal bone, left hand, subsequent encounter for fracture with routine healing"
S9699,Other specified injury of unspecified muscle and tendon at ankle and foot level
T5294,"Toxic effect of unspecified organic solvent, undetermined"
W3182XD,"Contact with other commercial machinery, subsequent encounter"
T2055,Corrosion of first degree of scalp [any part]
M84433,"Pathological fracture, right radius"
S53113S,"Anterior subluxation of unspecified ulnohumeral joint, sequela"
M1630,"Unilateral osteoarthritis resulting from hip dysplasia, unspecified hip"
T22439S,"Corrosion of unspecified degree of unspecified upper arm, sequela"
S53001D,"Unspecified subluxation of right radial head, subsequent encounter"
W6129XS,"Other contact with other psittacines, sequela"
S0101,Laceration without foreign body of scalp
P0735,"Preterm newborn, gestational age 32 completed weeks"
Y35402S,"Legal intervention involving unspecified sharp objects, bystander injured, sequela"
L903,Atrophoderma of Pasini and Pierini
Q450,"Agenesis, aplasia and hypoplasia of pancreas"
M8928,null
T473X1A,"Poisoning by saline and osmotic laxatives, accidental (unintentional), initial encounter"
C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast
S68722S,"Partial traumatic transmetacarpal amputation of left hand, sequela"
S66508A,"Unspecified injury of intrinsic muscle, fascia and tendon of other finger at wrist and hand level, initial encounter"
S8780XD,null
S92351G,"Displaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with delayed healing"
O99213,"Obesity complicating pregnancy, third trimester"
I6320,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries
V159XXS,"Unspecified pedal cyclist injured in collision with railway train or railway vehicle in traffic accident, sequela"
L589,"Radiodermatitis, unspecified"
C8107,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen"
M08912,"Juvenile arthritis, unspecified, left shoulder"
M403,null
S82221G,"Displaced transverse fracture of shaft of right tibia, subsequent encounter for closed fracture with delayed healing"
S35403A,"Unspecified injury of unspecified renal artery, initial encounter"
H40112,"Primary open-angle glaucoma, left eye"
M488X8,"Other specified spondylopathies, sacral and sacrococcygeal region"
T364X6D,"Underdosing of tetracyclines, subsequent encounter"
T510X,Toxic effect of ethanol
S81821S,"Laceration with foreign body, right lower leg, sequela"
T63482D,"Toxic effect of venom of other arthropod, intentional self-harm, subsequent encounter"
S59812,Other specified injuries left forearm
T43604,"Poisoning by unspecified psychostimulants, undetermined"
I69361,Other paralytic syndrome following cerebral infarction affecting right dominant side
S65391,Other specified injury of deep palmar arch of right hand
S56109D,null
S63232D,"Subluxation of proximal interphalangeal joint of right middle finger, subsequent encounter"
S90445,"External constriction, left lesser toe(s)"
S90572S,"Other superficial bite of ankle, left ankle, sequela"
T1810,Unspecified foreign body in esophagus
S62254S,"Nondisplaced fracture of neck of first metacarpal bone, right hand, sequela"
M80841S,"Other osteoporosis with current pathological fracture, right hand, sequela"
B2790,"Infectious mononucleosis, unspecified without complication"
T17320,Food in larynx causing asphyxiation
S72362J,"Displaced segmental fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
H44822,"Luxation of globe, left eye"
T22452A,"Corrosion of unspecified degree of left shoulder, initial encounter"
O748,Other complications of anesthesia during labor and delivery
S42142K,"Displaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with nonunion"
S8262XK,"Displaced fracture of lateral malleolus of left fibula, subsequent encounter for closed fracture with nonunion"
S72413R,"Displaced unspecified condyle fracture of lower end of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S62121,"Displaced fracture of lunate [semilunar], right wrist"
S78919S,"Complete traumatic amputation of unspecified hip and thigh, level unspecified, sequela"
T472X2S,"Poisoning by stimulant laxatives, intentional self-harm, sequela"
S3201,Fracture of first lumbar vertebra
S36898D,"Other injury of other intra-abdominal organs, subsequent encounter"
S84801A,"Injury of other nerves at lower leg level, right leg, initial encounter"
H53019,"Deprivation amblyopia, unspecified eye"
M89242,"Other disorders of bone development and growth, left hand"
V452XXA,"Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
Q7181,Congenital shortening of upper limb
S59139A,"Salter-Harris Type III physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
S56109D,"Unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter"
S134XXD,"Sprain of ligaments of cervical spine, subsequent encounter"
M5412,"Radiculopathy, cervical region"
Y0702,"Wife, perpetrator of maltreatment and neglect"
M67239,"Synovial hypertrophy, not elsewhere classified, unspecified forearm"
Y93K3,"Activity, grooming and shearing an animal"
T84090,Other mechanical complication of internal right hip prosthesis
S81002D,"Unspecified open wound, left knee, subsequent encounter"
